Registration number,Course ID,Grade,Semester ending date
E/16/152,CP507,B+,2/10/2023
E/16/152,CE201,B+,11/26/2019
E/16/152,CP202,A+,4/9/2021
E/16/152,EM212,A+,9/4/2021
E/16/153,CP408,A,3/8/2023
E/16/153,PR408,B+,3/8/2023
E/16/153,CE202,C+,11/26/2019
E/16/153,CP504,A,9/12/2021
E/16/153,CP202,A-,4/9/2021
E/16/153,EM203,A,4/9/2021
E/16/153,CP508,A+,3/8/2023
E/16/153,EE280,B,11/26/2019
E/16/153,CP201,A,11/26/2019
E/16/153,EM211,A+,11/26/2019
E/16/153,PR409,A,2/10/2023
E/16/153,ME323,A,3/29/2022
E/16/153,CP305,A+,9/12/2021
E/16/153,CP511,A+,12/9/2021
E/16/153,ME321,B,3/29/2022
E/16/153,CE201,B,11/26/2019
E/16/153,CE207,A,4/9/2021
E/16/153,CP507,A+,2/10/2023
E/16/153,EM524,A+,2/10/2023
E/16/153,EM213,A+,11/26/2019
E/16/153,CP303,A,3/29/2022
E/16/153,CP409,A+,2/10/2023
E/16/153,CP502,A,3/29/2022
E/16/153,ME223,A-,4/9/2021
E/16/153,EM212,A+,9/4/2021
E/16/153,CP407,A+,3/8/2023
E/16/153,CP304,A+,9/12/2021
E/16/153,CP308,A+,9/12/2021
E/16/153,ME211,C,11/26/2019
E/16/153,EM526,A+,3/29/2022
E/16/153,ME205,A,4/9/2021
E/16/153,CP406,A+,2/10/2023
E/16/169,CP408,A-,3/8/2023
E/16/169,EM211,A-,11/26/2019
E/16/169,CP202,B,4/9/2021
E/16/169,EM203,A-,4/9/2021
E/16/169,CP505,A-,3/8/2023
E/16/169,CP305,A-,9/12/2021
E/16/169,ME211,D+,11/26/2019
E/16/169,CP407,A,3/8/2023
E/16/169,PR409,B+,2/10/2023
E/16/169,PR408,B-,3/8/2023
E/16/169,CP507,B+,2/10/2023
E/16/169,CP406,B-,2/10/2023
E/16/169,CE207,B+,4/9/2021
E/16/169,CP409,B,2/10/2023
E/16/169,CP304,C,9/12/2021
E/16/169,CP508,A-,3/8/2023
E/16/169,CE201,C,11/26/2019
E/16/169,ME223,B+,4/9/2021
E/16/169,ME323,A-,3/29/2022
E/16/169,ME205,A-,4/9/2021
E/16/169,EM212,A+,9/4/2021
E/16/169,CP502,A,3/29/2022
E/16/169,CP308,A-,9/12/2021
E/16/169,CP520,A+,9/12/2021
E/16/169,ME321,A,3/29/2022
E/16/169,CE202,C,11/26/2019
E/16/169,EE280,C,11/26/2019
E/16/169,CP201,B,11/26/2019
E/16/169,CP504,A,9/12/2021
E/16/169,CP511,A,12/9/2021
E/16/169,EM213,B,11/26/2019
E/16/169,CP303,A+,3/29/2022
E/16/191,EM527,A+,3/29/2022
E/16/191,CP409,A+,2/10/2023
E/16/191,ME205,B+,4/9/2021
E/16/191,CP303,A+,3/29/2022
E/16/191,CP502,A-,3/29/2022
E/16/191,ME211,B,11/26/2019
E/16/191,PR409,B+,2/10/2023
E/16/191,CP511,A-,12/9/2021
E/16/191,CP305,A+,9/12/2021
E/16/191,CP512,A-,9/12/2021
E/16/258,CP406,B-,2/10/2023
E/16/258,CP303,A+,3/29/2022
E/16/258,CP308,A,9/12/2021
E/16/258,CP201,B,11/26/2019
E/16/258,CE201,B,11/26/2019
E/16/258,CP511,A-,12/9/2021
E/16/258,EM212,A+,9/4/2021
E/16/258,PR409,A,2/10/2023
E/16/258,CP304,B,9/12/2021
E/16/258,ME211,B-,11/26/2019
E/16/258,CP408,A,3/8/2023
E/16/258,CP202,B+,4/9/2021
E/16/258,EM211,A,11/26/2019
E/16/258,EM527,A,12/9/2021
E/16/322,PR409,A+,2/10/2023
E/16/322,CP201,B+,11/26/2019
E/16/322,PR408,B+,3/8/2023
E/16/322,CP407,A+,3/8/2023
E/16/322,CP508,A+,3/8/2023
E/16/322,EM213,A+,11/26/2019
E/16/322,EM212,A+,9/4/2021
E/16/322,CE201,A-,11/26/2019
E/16/322,EE280,B+,11/26/2019
E/16/322,CP408,A-,3/8/2023
E/16/322,CE202,A,11/26/2019
E/16/322,EM527,A+,12/9/2021
E/16/322,CP507,A+,2/10/2023
E/16/322,CP506,A+,2/10/2023
E/16/322,CP304,A,9/12/2021
E/16/322,CP409,A+,2/10/2023
E/16/322,CP502,A,3/29/2022
E/16/322,CE207,A,4/9/2021
E/16/322,EM526,A+,3/29/2022
E/16/322,CP303,A+,3/29/2022
E/16/322,ME205,B+,4/9/2021
E/16/322,ME323,A-,3/29/2022
E/16/322,CP202,A,4/9/2021
E/16/322,ME321,B+,3/29/2022
E/16/322,CP504,A+,9/12/2021
E/16/322,EM203,A-,4/9/2021
E/16/322,ME223,A,4/9/2021
E/16/322,EM211,A+,11/26/2019
E/16/322,CP308,A-,9/12/2021
E/16/322,CP406,B+,2/10/2023
E/16/322,ME211,B,11/26/2019
E/16/322,CP305,A+,9/12/2021
E/16/344,CP305,A+,9/12/2021
E/16/344,EM526,A+,3/29/2022
E/16/344,CP408,A,3/8/2023
E/16/344,CP409,A+,2/10/2023
E/16/344,ME321,A+,3/29/2022
E/16/344,ME205,A+,4/9/2021
E/16/344,CP406,A+,2/10/2023
E/16/344,CE201,A+,11/26/2019
E/16/344,EM527,A+,12/9/2021
E/16/344,EM213,A+,11/26/2019
E/16/344,EE280,B+,11/26/2019
E/16/344,EM203,A,4/9/2021
E/16/344,CP511,A+,12/9/2021
E/16/344,ME211,B+,11/26/2019
E/16/344,CP407,A+,3/8/2023
E/16/344,CP201,B+,11/26/2019
E/16/344,CP507,A+,2/10/2023
E/16/344,CP303,A+,3/29/2022
E/16/344,PR409,A+,2/10/2023
E/16/344,EM524,A+,2/10/2023
E/16/344,CP502,A+,3/29/2022
E/16/344,ME223,A+,4/9/2021
E/16/344,CE202,A+,11/26/2019
E/16/344,CP308,A+,9/12/2021
E/16/344,CP304,A+,9/12/2021
E/16/344,CE207,A,4/9/2021
E/16/344,CP508,A+,3/8/2023
E/16/344,CP202,A+,4/9/2021
E/16/344,EM211,A+,11/26/2019
E/16/344,ME323,B,3/29/2022
E/16/344,PR408,A-,3/8/2023
E/16/344,EM212,A+,9/4/2021
E/16/358,EM526,A+,3/29/2022
E/16/358,CP409,A+,2/10/2023
E/16/358,CP201,B-,11/26/2019
E/16/358,EM212,A+,9/4/2021
E/16/358,EM213,A,11/26/2019
E/16/358,ME205,B+,4/9/2021
E/16/358,EM211,A+,11/26/2019
E/16/358,CP303,A+,3/29/2022
E/16/358,CP507,A+,2/10/2023
E/16/358,CP304,A-,9/12/2021
E/16/358,CP202,A+,4/9/2021
E/16/358,CE202,B,11/26/2019
E/16/358,EM524,A+,2/10/2023
E/16/358,CP407,A,3/8/2023
E/16/358,ME223,A+,4/9/2021
E/16/358,EM203,A-,4/9/2021
E/16/358,CP502,A+,3/29/2022
E/16/358,CP305,A+,9/12/2021
E/16/358,EE280,B+,11/26/2019
E/16/358,ME321,A,3/29/2022
E/16/358,ME323,A+,3/29/2022
E/16/358,CP308,A,9/12/2021
E/16/358,CP508,A+,3/8/2023
E/16/358,EM527,A+,3/29/2022
E/16/358,CP406,B+,2/10/2023
E/16/358,CE201,A-,11/26/2019
E/16/358,ME211,B,11/26/2019
E/16/358,PR409,A,2/10/2023
E/16/358,PR408,A-,3/8/2023
E/16/358,CP504,A-,9/12/2021
E/16/358,CP408,A-,3/8/2023
E/16/358,CE207,B+,4/9/2021
E/16/406,CP511,A-,12/9/2021
E/16/406,PR409,A,2/10/2023
E/16/406,CP303,A+,3/29/2022
E/16/406,CP504,A,9/12/2021
E/16/406,EE280,C+,11/26/2019
E/16/406,ME323,A,3/29/2022
E/16/406,EM211,A-,11/26/2019
