Registration number,Course ID,Grade,Semester ending date
E/16/010,EE254,A,4/9/2021
E/16/010,EE320,C,3/29/2022
E/16/010,EE257,B,4/9/2021
E/16/010,EE357,B,12/9/2021
E/16/010,EE325,B-,3/29/2022
E/16/010,EM524,A,2/10/2023
E/16/010,EE256,B+,4/9/2021
E/16/010,EM213,A,11/26/2019
E/16/010,EE253,B,11/26/2019
E/16/010,EE352,B,3/29/2022
E/16/010,EE251,B+,11/26/2019
E/16/010,EE354,B+,12/9/2021
E/16/010,EE351,B-,3/29/2022
E/16/010,EE355,B-,12/9/2021
E/16/013,EE254,B+,4/9/2021
E/16/013,EE405,A-,3/8/2023
E/16/013,EM211,A+,11/26/2019
E/16/013,EE322,A-,3/29/2022
E/16/013,EE354,B,12/9/2021
E/16/013,EE358,B+,3/29/2022
E/16/013,EE251,B+,11/26/2019
E/16/013,EE401,A+,3/8/2023
E/16/013,EE351,B,3/29/2022
E/16/013,EE257,B-,4/9/2021
E/16/013,EM213,A-,11/26/2019
E/16/013,EE201,B-,11/26/2019
E/16/013,EE253,A+,11/26/2019
E/16/013,EE353,B+,12/9/2021
E/16/013,ME210,B,4/9/2021
E/16/013,EE320,D+,3/29/2022
E/16/013,ME211,C,11/26/2019
E/16/013,EE357,B,12/9/2021
E/16/013,EE406,A,2/10/2023
E/16/013,EE539,A-,3/8/2023
E/16/013,EE255,A,4/9/2021
E/16/013,EE256,B+,4/9/2021
E/16/013,EM212,A+,9/4/2021
E/16/013,EE599,A-,2/10/2023
E/16/013,EE352,B-,3/29/2022
E/16/013,CO253,B+,4/9/2021
E/16/013,EE595,A+,12/9/2021
E/16/013,EE580,A-,12/9/2021
E/16/013,EM316,B,3/29/2022
E/16/013,EE325,B,3/29/2022
E/16/013,EE355,B-,12/9/2021
E/16/013,EE252,B+,11/26/2019
E/16/013,EM312,A-,2/10/2023
E/16/013,EE356,A,12/9/2021
E/16/019,EE254,A+,4/9/2021
E/16/019,EE252,A+,11/26/2019
E/16/019,EE587,A+,3/8/2023
E/16/019,EE405,A+,3/8/2023
E/16/019,EE255,A+,4/9/2021
E/16/019,EE256,A,4/9/2021
E/16/019,EM312,A+,2/10/2023
E/16/019,EE325,A,3/29/2022
E/16/019,EE355,A-,12/9/2021
E/16/019,EM212,A+,9/4/2021
E/16/019,EE353,A+,12/9/2021
E/16/019,EE352,A-,3/29/2022
E/16/019,ME210,A-,4/9/2021
E/16/019,EE501,A,3/8/2023
E/16/019,EE253,A,11/26/2019
E/16/019,CO253,A+,4/9/2021
E/16/019,EM211,A,11/26/2019
E/16/019,EE593,A+,12/9/2021
E/16/019,EE251,A-,11/26/2019
E/16/019,EE351,B,3/29/2022
E/16/019,ME211,B,11/26/2019
E/16/019,EE401,A+,3/8/2023
E/16/019,EE257,A+,4/9/2021
E/16/019,EE320,B-,3/29/2022
E/16/019,EE356,A+,12/9/2021
E/16/019,EE406,A+,2/10/2023
E/16/019,EM213,A+,11/26/2019
E/16/019,EM527,A+,2/10/2023
E/16/019,EE357,B+,12/9/2021
E/16/019,EE354,B,12/9/2021
E/16/019,EE358,A,3/29/2022
E/16/019,EE201,B+,11/26/2019
E/16/019,EM316,A+,3/29/2022
E/16/019,EE322,A+,3/29/2022
E/16/021,CO253,B-,4/9/2021
E/16/021,EM527,A-,3/8/2023
E/16/021,EE320,B+,3/29/2022
E/16/021,EM211,A+,11/26/2019
E/16/021,ME211,B-,11/26/2019
E/16/021,EE354,B,12/9/2021
E/16/021,EE253,B,11/26/2019
E/16/021,EE522,A,3/8/2023
E/16/021,EE251,B+,11/26/2019
E/16/021,EM316,A+,3/29/2022
E/16/021,EE254,A,4/9/2021
E/16/021,ME210,B+,4/9/2021
E/16/021,EE322,A-,3/29/2022
E/16/021,EE351,A-,3/29/2022
E/16/021,EE593,A-,12/9/2021
E/16/021,EE356,B+,12/9/2021
E/16/021,EM213,A,11/26/2019
E/16/021,EE539,A,3/8/2023
E/16/021,EE358,B,3/29/2022
E/16/021,EE355,A-,12/9/2021
E/16/021,EM212,A+,9/4/2021
E/16/021,EE595,B+,12/9/2021
E/16/021,EE201,B-,11/26/2019
E/16/021,EE256,B+,4/9/2021
E/16/021,EE325,A,3/29/2022
E/16/021,EE357,A,12/9/2021
E/16/021,EE255,A,4/9/2021
E/16/021,EE352,B,3/29/2022
E/16/021,EE405,A+,3/8/2023
E/16/021,EE406,A+,2/10/2023
E/16/021,EE353,A,12/9/2021
E/16/021,EE401,A,3/8/2023
E/16/021,EE257,A-,4/9/2021
E/16/021,EE252,A-,11/26/2019
E/16/023,EE257,C,4/8/2022
E/16/023,EE355,D+,12/9/2021
E/16/023,EE522,B+,3/8/2023
E/16/023,EE252,B-,11/26/2019
E/16/023,EE354,B-,12/9/2021
E/16/023,EE325,C+,3/29/2022
E/16/023,EE404,C+,3/8/2023
E/16/023,CO253,D+,4/9/2021
E/16/023,EE518,B+,2/10/2023
E/16/023,EE322,A-,3/29/2022
E/16/023,ME210,C,4/9/2021
E/16/023,EE357,C+,12/9/2021
E/16/023,EE254,A-,4/9/2021
E/16/023,EE320,C-,3/29/2022
E/16/023,EE358,C,3/29/2022
E/16/023,EE592,B+,2/10/2023
E/16/023,EM212,A+,9/4/2021
E/16/023,EE256,A,4/9/2021
E/16/023,EE255,B+,4/9/2021
E/16/023,EE201,C+,11/26/2019
E/16/023,EE405,A-,3/8/2023
E/16/023,EE406,A+,2/10/2023
E/16/023,EE257,C-,4/9/2021
E/16/023,EE353,A-,12/9/2021
E/16/023,EE352,B-,3/29/2022
E/16/023,ME211,D+,11/26/2019
E/16/023,EE251,B+,11/26/2019
E/16/023,EM524,A,2/10/2023
E/16/023,EM316,B-,3/29/2022
E/16/023,EE351,C,3/29/2022
E/16/023,EM211,A,11/26/2019
E/16/023,ME211,E,7/8/2022
E/16/023,EE253,B+,11/26/2019
E/16/023,EM213,A-,11/26/2019
E/16/023,EE356,A,12/9/2021
E/16/023,EE576,B,12/9/2021
E/16/026,EE353,A,12/9/2021
E/16/026,EE257,A-,4/9/2021
E/16/026,EE401,A+,3/8/2023
E/16/026,EE320,B,3/29/2022
E/16/026,EM316,A+,3/29/2022
E/16/026,EM211,A+,11/26/2019
E/16/026,EE256,A,4/9/2021
E/16/026,EE322,A-,3/29/2022
E/16/026,EE356,B+,12/9/2021
E/16/026,EE201,B,11/26/2019
E/16/026,EE539,A,3/8/2023
E/16/026,EM524,A,2/10/2023
E/16/026,EE325,B+,3/29/2022
E/16/026,EE354,A-,12/9/2021
E/16/026,EM527,A+,2/10/2023
E/16/026,ME210,A-,4/9/2021
E/16/026,EM212,A+,9/4/2021
E/16/026,ME211,B+,11/26/2019
E/16/026,EE251,B+,11/26/2019
E/16/026,EE358,A+,3/29/2022
E/16/026,EE357,B+,12/9/2021
E/16/026,EM213,A,11/26/2019
E/16/026,EM312,A,2/10/2023
E/16/026,EE252,A-,11/26/2019
E/16/026,CO253,B,4/9/2021
E/16/026,EE351,B+,3/29/2022
E/16/026,EE352,A-,3/29/2022
E/16/026,EE253,B,11/26/2019
E/16/026,EE255,A+,4/9/2021
E/16/026,EE405,A-,3/8/2023
E/16/026,EE355,B+,12/9/2021
E/16/026,EE254,A+,4/9/2021
E/16/026,EE406,A-,2/10/2023
E/16/026,EE572,A,3/8/2023
E/16/028,EM213,B,11/26/2019
E/16/028,EE322,B+,3/29/2022
E/16/028,ME211,C+,11/26/2019
E/16/028,EE401,C+,3/8/2023
E/16/028,EE352,C+,3/29/2022
E/16/028,EE251,C+,11/26/2019
E/16/028,EE518,B+,2/10/2023
E/16/028,EE201,B-,11/26/2019
E/16/028,EM316,A-,3/29/2022
E/16/028,EE351,B,3/29/2022
E/16/028,EE257,B-,4/9/2021
E/16/028,EE253,B+,11/26/2019
E/16/028,EE576,B,12/9/2021
E/16/028,EM527,A+,12/9/2021
E/16/028,EE256,A-,4/9/2021
E/16/028,EE254,B,4/9/2021
E/16/028,EM211,B+,11/26/2019
E/16/028,EE406,A,2/10/2023
E/16/028,EE355,B-,12/9/2021
E/16/028,EE325,B,3/29/2022
E/16/028,EE405,A-,3/8/2023
E/16/028,EE572,B,3/8/2023
E/16/028,EE320,C,3/29/2022
E/16/028,ME210,C,4/9/2021
E/16/028,EE354,B-,12/9/2021
E/16/028,EE358,B+,3/29/2022
E/16/028,EM212,A+,9/4/2021
E/16/028,EE522,B-,3/8/2023
E/16/028,EE353,B+,12/9/2021
E/16/028,CO253,C+,4/9/2021
E/16/028,EE356,B,12/9/2021
E/16/028,EE357,B-,12/9/2021
E/16/028,EE252,C+,11/26/2019
E/16/028,EE255,A-,4/9/2021
E/16/033,EE401,B,3/8/2023
E/16/033,EE255,B,4/9/2021
E/16/033,EE257,B,4/9/2021
E/16/033,EM316,A,3/29/2022
E/16/033,EE320,C+,3/29/2022
E/16/033,EE352,B+,3/29/2022
E/16/033,EE596,B-,3/8/2023
E/16/033,EE539,B+,3/8/2023
E/16/033,EM213,B+,11/26/2019
E/16/033,EE587,C+,3/8/2023
E/16/033,EE256,B+,4/9/2021
E/16/033,EE406,A+,2/10/2023
E/16/033,EE252,C,11/26/2019
E/16/033,EE254,A,4/9/2021
E/16/033,EE355,C,12/9/2021
E/16/033,EE325,B+,3/29/2022
E/16/033,EE405,A+,3/8/2023
E/16/033,EE595,B,12/9/2021
E/16/033,ME211,C+,11/26/2019
E/16/033,ME210,B-,4/9/2021
E/16/033,EE358,C+,3/29/2022
E/16/033,EM211,A+,11/26/2019
E/16/033,EE322,B,3/29/2022
E/16/033,EE356,B+,12/9/2021
E/16/033,CO253,B+,4/9/2021
E/16/033,EE354,C+,12/9/2021
E/16/033,EE593,B-,12/9/2021
E/16/033,EE251,B+,11/26/2019
E/16/033,EE357,C+,12/9/2021
E/16/033,EE351,C+,3/29/2022
E/16/033,EM212,A-,9/4/2021
E/16/033,EE201,C+,11/26/2019
E/16/033,EE253,A,11/26/2019
E/16/033,EE353,A-,12/9/2021
E/16/035,EE255,A-,4/9/2021
E/16/035,EM212,A+,9/4/2021
E/16/035,EE256,B,4/9/2021
E/16/035,EE352,B-,3/29/2022
E/16/035,EE253,A,11/26/2019
E/16/035,EE257,B-,4/9/2021
E/16/035,EE576,A-,12/9/2021
E/16/035,EE592,A-,2/10/2023
E/16/035,EE351,B,3/29/2022
E/16/035,EE252,B,11/26/2019
E/16/035,ME210,B+,4/9/2021
E/16/035,ME211,C+,11/26/2019
E/16/035,EE353,A-,12/9/2021
E/16/035,EE251,B+,11/26/2019
E/16/035,EE406,B+,2/10/2023
E/16/035,EE322,A,3/29/2022
E/16/035,EE404,B+,3/8/2023
E/16/035,EM211,B+,11/26/2019
E/16/035,EE357,B-,12/9/2021
E/16/035,EM316,A,3/29/2022
E/16/035,EE354,B,12/9/2021
E/16/035,EE356,A-,12/9/2021
E/16/035,EE522,B+,3/8/2023
E/16/035,EM213,A+,11/26/2019
E/16/035,CO253,A-,4/9/2021
E/16/035,EE320,B,3/29/2022
E/16/035,EE201,B+,11/26/2019
E/16/035,EE405,A-,3/8/2023
E/16/035,EM527,B+,2/10/2023
E/16/035,EE325,B-,3/29/2022
E/16/035,EE512,B,3/8/2023
E/16/035,EE254,A,4/9/2021
E/16/035,EE355,C,12/9/2021
E/16/035,EE358,A-,3/29/2022
E/16/036,CO253,B-,4/9/2021
E/16/036,EE257,A-,4/9/2021
E/16/036,EE251,B+,11/26/2019
E/16/036,EE351,A,3/29/2022
E/16/036,EE576,A,12/9/2021
