Registration number,Course ID,Grade,Semester ending date
E/16/113,CE207,C-,4/9/2021
E/16/113,EE281,A-,4/9/2021
E/16/113,CE301,E,3/29/2022
E/16/113,EE280,C,11/26/2019
E/16/113,ME211,C,11/26/2019
E/16/113,EM212,A,9/4/2021
E/16/113,CE301,E,2/10/2023
E/16/113,PR410,B+,3/8/2023
E/16/113,CE201,C+,11/26/2019
E/16/113,ME213,B+,11/26/2019
E/16/113,EM211,B,11/26/2019
E/16/113,PR518,C,2/10/2023
E/16/113,PR204,B-,11/26/2019
E/16/113,PR314,C,3/29/2022
E/16/113,PR206,C,4/8/2022
E/16/113,PR404,C-,3/8/2023
E/16/113,PR316,C,12/9/2021
E/16/113,PR315,C,3/29/2022
E/16/113,PR206,C-,4/9/2021
E/16/113,PR516,B-,3/8/2023
E/16/113,EM527,B+,12/9/2021
E/16/113,PR521,B,2/10/2023
E/16/113,PR515,C,12/9/2021
E/16/113,ME209,B,4/9/2021
E/16/113,PR408,C-,3/8/2023
E/16/113,PR205,B-,4/9/2021
E/16/113,PR409,B+,2/10/2023
E/16/113,ME321,C-,3/29/2022
E/16/113,ME302,B+,12/9/2021
E/16/113,PR517,C+,3/8/2023
E/16/121,PR204,B,11/26/2019
E/16/121,PR515,B+,12/9/2021
E/16/121,PR205,B+,4/9/2021
E/16/121,ME213,B-,11/26/2019
E/16/121,EM211,B+,11/26/2019
E/16/121,ME321,C,3/29/2022
E/16/121,PR404,B-,3/8/2023
E/16/121,PR316,B-,12/9/2021
E/16/121,PR206,B-,4/9/2021
E/16/121,ME211,C,11/26/2019
E/16/121,CE301,D+,3/29/2022
E/16/121,ME302,A-,12/9/2021
E/16/121,PR408,B,3/8/2023
E/16/121,CE207,B,4/9/2021
E/16/121,PR410,A+,3/8/2023
E/16/121,EM527,B-,12/9/2021
E/16/121,EE280,C+,11/26/2019
E/16/121,EE380,C+,3/29/2022
E/16/121,EE281,A-,4/9/2021
E/16/121,CE201,D,11/26/2019
E/16/121,EM526,C,3/29/2022
E/16/121,ME209,B,4/9/2021
E/16/121,PR517,B+,3/8/2023
E/16/121,EM212,A-,9/4/2021
E/16/121,PR516,A-,3/8/2023
