Registration number,Course ID,Grade,Semester ending date
E/16/014,CE202,A+,11/26/2019
E/16/014,CE533,A+,12/9/2021
E/16/014,CE312,A+,3/29/2022
E/16/014,CE318,A+,3/29/2022
E/16/014,CE308,A+,12/9/2021
E/16/014,CE522,A+,12/9/2021
E/16/014,CE593,A+,2/10/2023
E/16/014,CE403,A+,3/8/2023
E/16/014,EM211,A+,11/26/2019
E/16/014,CE305,A+,3/29/2022
E/16/014,CE310,A+,3/29/2022
E/16/014,EM315,A+,3/29/2022
E/16/014,CE319,A+,3/29/2022
E/16/014,CE205,A+,4/9/2021
E/16/014,CE532,A+,3/8/2023
E/16/014,EM213,A+,11/26/2019
E/16/014,CE406,A+,2/10/2023
E/16/014,CE316,A+,12/9/2021
E/16/014,CE209,A+,4/9/2021
E/16/014,CE320,A+,12/9/2021
E/16/014,EM212,A+,9/4/2021
E/16/014,CE219,A+,4/9/2021
E/16/014,CE402,A+,2/10/2023
E/16/014,CE311,A+,12/9/2021
E/16/014,EE280,A+,11/26/2019
E/16/014,CE535,A+,3/8/2023
E/16/014,CE553,A+,3/8/2023
E/16/014,CE302,A+,3/29/2022
E/16/014,CE317,A+,12/9/2021
E/16/014,CE405,A+,3/8/2023
E/16/014,CE210,A+,11/26/2019
E/16/014,CE591,A+,2/10/2023
E/16/014,MA201,A+,4/9/2021
E/16/014,ME202,A+,11/26/2019
E/16/014,CE201,A+,11/26/2019
E/16/014,CE586,A+,2/10/2023
E/16/014,CE306,A+,12/9/2021
E/16/014,CE204,A+,4/9/2021
E/16/014,CE307,A+,12/9/2021
E/16/014,CE208,A+,4/9/2021
E/16/016,CE202,A+,11/26/2019
E/16/016,CE533,A+,12/9/2021
E/16/016,CE312,A+,3/29/2022
E/16/016,CE318,A+,3/29/2022
E/16/016,CE308,A+,12/9/2021
E/16/016,CE522,A+,12/9/2021
E/16/016,CE593,A+,2/10/2023
E/16/016,CE403,A+,3/8/2023
E/16/016,EM211,A+,11/26/2019
E/16/016,CE305,A+,3/29/2022
E/16/016,CE310,A+,3/29/2022
E/16/016,EM315,A+,3/29/2022
E/16/016,CE319,A+,3/29/2022
E/16/016,CE205,A+,4/9/2021
E/16/016,CE532,A+,3/8/2023
E/16/016,EM213,A+,11/26/2019
E/16/016,CE406,A+,2/10/2023
E/16/016,CE316,A+,12/9/2021
E/16/016,CE209,A+,4/9/2021
E/16/016,CE320,A+,12/9/2021
E/16/016,EM212,A+,9/4/2021
E/16/016,CE219,A+,4/9/2021
E/16/016,CE402,A+,2/10/2023
E/16/016,CE311,A+,12/9/2021
E/16/016,EE280,A+,11/26/2019
E/16/016,CE535,A+,3/8/2023
E/16/016,CE553,A+,3/8/2023
E/16/016,CE302,A+,3/29/2022
E/16/016,CE317,A+,12/9/2021
E/16/016,CE405,A+,3/8/2023
E/16/016,CE210,A+,11/26/2019
E/16/016,CE591,A+,2/10/2023
E/16/016,MA201,A+,4/9/2021
E/16/016,ME202,A+,11/26/2019
E/16/016,CE201,A+,11/26/2019
E/16/016,CE586,A+,2/10/2023
E/16/016,CE306,A+,12/9/2021
E/16/016,CE204,A+,4/9/2021
E/16/016,CE307,A+,12/9/2021
E/16/016,CE208,A+,4/9/2021
